分镜数,分镜提示词
1,"角色: 女儿
机位与景别: 视角: 平视，景别: 中景
构图与人物位置: 在一条马路边，女儿 单膝跪地，身体前倾，位于画面中央。他身旁有一个鞋盒和一个插着蜡烛的生日蛋糕，背景是一辆黄色的校车。
姿势表情: 女儿 正在系鞋带，他抬着头，嘴巴张开，表情是震惊。
环境: 晴朗的白天，户外街道场景。"
2,"角色: 母亲，怪兽
机位与景别: 视角: 平视，景别: 近景
构图与人物位置: 在一辆行驶的巴士内部，母亲 位于画面左侧，双手紧抓着一根黄色的扶杆。怪兽坐在她身后的座位上，位于画面右侧，手里捧着一个盒子。
姿势表情: 母亲 张大嘴巴，眼睛圆睁，表情是震惊。怪兽在背景中咧嘴笑着，表情是开心。
环境: 巴士车厢内，窗外是模糊的街景。"
3,"角色: 女儿
机位与景别: 视角: 平视，景别: 中景
构图与人物位置: 女儿 站在一条色彩鲜艳的街道中央，身体正对镜头，双手捧着一个生日蛋糕。
姿势表情: 女儿 的面部扭曲，嘴巴大张，表情是惊恐。
环境: 两侧是色彩缤纷的欧式建筑，背景有几辆汽车。"
4,"角色: 公交司机，母亲，怪兽
机位与景别: 视角: 平视，景别: 近景
构图与人物位置: 在巴士的驾驶座上，公交司机 位于画面右侧，双手紧握方向盘。母亲 站在他旁边，位于画面左侧。怪兽在他们身后的座位上。
姿势表情: 公交司机 张着嘴巴大喊，表情是愤怒。母亲 皱着眉头，表情是无奈。怪兽在背景中表情是开心。
环境: 巴士驾驶舱，前方是挡风玻璃。"
5,"角色: 怪兽
机位与景别: 视角: 平视，景别: 近景
构图与人物位置: 怪兽独自坐在巴士的座位上，身体正对镜头，双手捧着一个打开的蛋糕盒。
姿势表情: 怪兽面带微笑，表情是开心。
环境: 巴士车厢内部，背景是车窗和空座位。"
6,"角色: 怪兽
机位与景别: 视角: 平视，景别: 近景
构图与人物位置: 怪兽独自坐在巴士的座位上，身体正对镜头，双手捧着一个打开的蛋糕盒。
姿势表情: 怪兽张着嘴巴，眼睛眯起，表情是兴奋。
环境: 巴士车厢内部，背景是车窗和空座位。"
7,"角色: 怪兽
机位与景别: 视角: 平视，景别: 近景
构图与人物位置: 怪兽独自坐在巴士的座位上，身体正对镜头，双手捧着一个打开的蛋糕盒。
姿势表情: 怪兽眼睛弯成月牙状，露出自信的笑容，表情是开心。
环境: 巴士车厢内部，背景是车窗和空座位。"
8,"角色: 母亲，公交司机
机位与景别: 视角: 平视，景别: 近景
构图与人物位置: 在巴士驾驶舱内，公交司机 坐在驾驶座上，位于画面右侧。母亲 身体倾向他，位于画面左侧，两人正在对话。
姿势表情: 母亲 的表情是无奈，双手做出恳求的手势。公交司机 皱着眉，嘴角下撇，表情是烦躁。
环境: 巴士驾驶舱，光线明亮。"
9,"角色: 公交司机，母亲
机位与景别: 视角: 平视，景别: 近景
构图与人物位置: 从侧面拍摄，公交司机 在驾驶座上，位于画面左侧。母亲 靠近他，位于画面右侧，她的手放在他的肩膀上。
姿势表情: 公交司机 侧脸对着镜头，表情是烦躁。母亲 正脸对着镜头，表情是无奈。
环境: 巴士驾驶舱内。"
10,"角色: 公交司机，母亲
机位与景别: 视角: 平视，景别: 近景
构图与人物位置: 在巴士驾驶舱内，公交司机坐在驾驶座上，双手握着方向盘，位于画面左侧。母亲 身体紧挨着他，位于画面右侧。
姿势表情: 公交司机眼睛圆睁，嘴巴微张，表情是惊讶。母亲 双手合十放在胸前，表情是无奈。
环境: 巴士驾驶舱，日间场景。"
